"","few hrs","stopped","age","income","device","living area","premium","months"
"1","FALSE",0,38,4.52,"ios","urban",1,12
"2","FALSE",0,33,2.42,"android","urban",1,13
"3","FALSE",0,34,4.5,"ios","urban",1,5
"4","FALSE",0,30,2.54,"android","urban",1,7
"5","FALSE",0,32,9.7867,"ios","urban",1,5
"6","FALSE",0,23,2.5,"android","urban",1,1
"7","FALSE",0,28,3.96,"android","urban",1,5
"8","FALSE",0,29,2.37,"ios","urban",1,3
"9","FALSE",0,37,3.8,"ios","urban",1,6
"10","FALSE",0,28,3.2,"android","urban",1,18
"11","FALSE",0,30,3.95,"ios","urban",1,20
"12","TRUE",0,42,1.98,"ios","urban",1,0
"13","TRUE",0,30,1.73,"ios","urban",0,12
"14","FALSE",0,29,2.45,"ios","urban",1,3
"15","FALSE",0,35,1.908,"ios","urban",0,5
"16","FALSE",0,41,3.2,"ios","urban",1,22
"17","FALSE",0,40,4,"ios","urban",1,0
"18","TRUE",7,30,3,"ios","urban",1,8
"19","FALSE",0,40,9.9999,"ios","rest",1,0
"20","TRUE",3,46,3.4,"android","urban",1,10
"21","FALSE",0,35,2.35,"ios","urban",1,1
"22","TRUE",1,25,1.875,"android","urban",0,2
"23","FALSE",0,34,2,"ios","urban",1,0
"24","FALSE",1,36,4,"android","urban",1,22
"25","FALSE",0,43,5.14,"ios","urban",1,17
"26","FALSE",0,30,4.506,"android","urban",1,7
"27","TRUE",0,22,3.84,"android","rest",0,1
"28","FALSE",0,22,1.5,"android","urban",1,6
"29","TRUE",0,34,2.5,"ios","urban",1,0
"30","FALSE",0,40,5.5,"ios","urban",1,19
"31","FALSE",0,22,2.0272,"android","urban",0,5
"32","FALSE",1,29,3.2,"android","urban",1,6
"33","TRUE",1,25,3.15,"ios","urban",1,5
"34","FALSE",0,21,2.4663,"ios","urban",1,10
"35","FALSE",0,24,3,"android","urban",1,5
"36","FALSE",0,43,3.5412,"ios","urban",1,15
"37","TRUE",0,43,2.2845,"android","urban",1,0
"38","FALSE",0,37,5.7,"ios","urban",1,16
"39","FALSE",0,27,3.5,"android","urban",1,14
"40","FALSE",0,28,4.6,"ios","urban",1,13
"41","FALSE",0,26,3,"ios","urban",1,10
"42","FALSE",0,23,2.585,"android","urban",1,1
"43","FALSE",0,30,1.51,"android","urban",0,1
"44","FALSE",0,30,1.85,"android","urban",1,12
"45","FALSE",0,38,2.6,"android","urban",1,1
"46","TRUE",0,28,1.8,"android","rest",1,2
"47","FALSE",0,36,2,"android","urban",1,4
"48","TRUE",0,38,3.2628,"android","urban",0,1
"49","FALSE",0,26,2.35,"android","urban",0,2
"50","FALSE",0,28,7,"ios","urban",1,13
"51","TRUE",0,50,3.6,"android","urban",0,0
